TAG	TEXT	COMMENT
GAMEPLAY_TOOLTIP_FATIGUE_DECK_DESCRIPTION	У вас в колоді не залишилося карт! Кожен раз, коли ви намагаєтеся взяти карту з порожньої колоди, ви отримаєте шкоду.	
GAMEPLAY_TOOLTIP_FATIGUE_DECK_HEADLINE	Втома	
GAMEPLAY_TOOLTIP_FATIGUE_ENEMYDECK_DESCRIPTION	У колоді вашого суперника не залишилося карт! Він буде отримувати шкоду кожен раз, коли буде намагатися взяти карту.	
GAMEPLAY_TOOLTIP_FATIGUE_ENEMYDECK_HEADLINE	Втома	
GAMEPLAY_TOOLTIP_HAND_DESCRIPTION	У вас в руці {0} |4(карта,карти,карт).	
GAMEPLAY_TOOLTIP_HAND_FULL_DESCRIPTION	У вас в руці {0} |4(карта,карти,карт)! Ви більше не можете взяти карту.	
GAMEPLAY_TOOLTIP_HAND_FULL_HEADLINE	Повная рука	
GAMEPLAY_TOOLTIP_HAND_HEADLINE	Рука	
GAMEPLAY_TOOLTIP_MANA_COIN_DESCRIPTION	Ви можете заплатити золотом, щоб змінити свою колоду.	
GAMEPLAY_TOOLTIP_MANA_COIN_HEADLINE	Золоті	
GAMEPLAY_TOOLTIP_MANA_DESCRIPTION	На початку кожного вашого ходу ви отримуєте новий кристал мани і відновлюєте вже наявний резерв.	
GAMEPLAY_TOOLTIP_MANA_HEADLINE	Кристали мани	
GAMEPLAY_TOOLTIP_MANA_LOCKED_DESCRIPTION	Кристалів мани <b>перенавантажено</b> минулого ходу: {0}.	0= number of overloaded mana crystals.
GAMEPLAY_TOOLTIP_MANA_LOCKED_HEADLINE	Заблоковані кристали	
GAMEPLAY_TOOLTIP_MANA_OVERLOAD_DESCRIPTION	<b>Перенавантажено</b> кристалів мани: {0}.	0= number of overloaded mana crystals.
GAMEPLAY_TOOLTIP_MANA_OVERLOAD_HEADLINE	Перенавантаження	
GAMEPLAY_TOT_109t_STASIS_DRAGON_1	Пробуджується з_<b>«Натиском»</b> за два хода.	
GAMEPLAY_TOT_109t_STASIS_DRAGON_2	Пробуджується з_<b>«Натиском»</b> за хід.	
GAMEPLAY_TRLA_TROLL_SHRINE_1	Пробудиться\nза 3 хода.	
GAMEPLAY_TRLA_TROLL_SHRINE_2	Пробудиться\nза 2 хода.	
GAMEPLAY_TRLA_TROLL_SHRINE_3	Пробудиться\nза 1 хід.	
GAMEPLAY_UNDATAKAH1	{0}	
GAMEPLAY_UNDATAKAH2	{0} і {1}	
GAMEPLAY_UNDATAKAH3	{0}, {1} та {2}	
GAMEPLAY_UNKNOWN_CREATED_BY	інша карта	
GAMEPLAY_WIN_REWARD_PROGRESS	Перемога: {0}/{1}	
GAMEPLAY_YOUR_TURN	Ваш хід	
